tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38121,8333,7541417,140561,2017-08-01 16:23:56
892177421306343426,32706,6158,7541417,140561,2017-08-01 00:17:27
891815181378084864,24615,4076,7541417,140561,2017-07-31 00:18:03
891689557279858688,41473,8479,7541417,140561,2017-07-30 15:58:51
891327558926688256,39640,9169,7541417,140561,2017-07-29 16:00:24
891087950875897856,19909,3055,7541417,140561,2017-07-29 00:08:17
890971913173991426,11635,2026,7541417,140561,2017-07-28 16:27:12
890729181411237888,64306,18502,7541417,140561,2017-07-28 00:22:40
890609185150312448,27349,4193,7541417,140561,2017-07-27 16:25:51
890240255349198849,31378,7236,7541417,140561,2017-07-26 15:59:51
890006608113172480,30164,7191,7541417,140561,2017-07-26 00:31:25
889880896479866881,27329,4880,7541417,140561,2017-07-25 16:11:53
889665388333682689,47313,9863,7541417,140561,2017-07-25 01:55:32
889638837579907072,26701,4451,7541417,140561,2017-07-25 00:10:02
889531135344209921,14862,2202,7541417,140561,2017-07-24 17:02:04
889278841981685760,24823,5267,7541417,140561,2017-07-24 00:19:32
888917238123831296,28624,4408,7541417,140561,2017-07-23 00:22:39
888804989199671297,25129,4207,7541418,140561,2017-07-22 16:56:37
888554962724278272,19498,3482,7541418,140561,2017-07-22 00:23:06
888078434458587136,21401,3423,7541418,140561,2017-07-20 16:49:33
887705289381826560,29672,5281,7541418,140561,2017-07-19 16:06:48
887517139158093824,45513,11453,7541418,140561,2017-07-19 03:39:09
887473957103951883,67932,17825,7541418,140561,2017-07-19 00:47:34
887343217045368832,33125,10204,7541418,140561,2017-07-18 16:08:03
887101392804085760,30080,5852,7541418,140561,2017-07-18 00:07:08
886983233522544640,34584,7625,7542037,140562,2017-07-17 16:17:36
886736880519319552,11858,3220,7541419,140561,2017-07-16 23:58:41
886680336477933568,22063,4378,7541419,140561,2017-07-16 20:14:00
886366144734445568,20839,3139,7541420,140561,2017-07-15 23:25:31
886267009285017600,115,4,7541420,140561,2017-07-15 16:51:35
886258384151887873,27528,6169,7541420,140561,2017-07-15 16:17:19
886054160059072513,0,105,7541420,140561,2017-07-15 02:45:48
885984800019947520,32117,6662,7541420,140561,2017-07-14 22:10:11
885528943205470208,35382,6313,7541420,140561,2017-07-13 15:58:47
885518971528720385,20093,3689,7541420,140561,2017-07-13 15:19:09
885311592912609280,0,18220,7541420,140561,2017-07-13 01:35:06
885167619883638784,21570,4297,7541420,140561,2017-07-12 16:03:00
884925521741709313,76187,17914,7541420,140561,2017-07-12 00:01:00
884876753390489601,27477,5508,7541419,140561,2017-07-11 20:47:12
884562892145688576,23906,4609,7541419,140561,2017-07-11 00:00:02
884441805382717440,26544,5551,7541419,140561,2017-07-10 15:58:53
884247878851493888,71828,20107,7541419,140561,2017-07-10 03:08:17
884162670584377345,20021,2933,7541419,140561,2017-07-09 21:29:42
883838122936631299,21541,3384,7541419,140561,2017-07-09 00:00:04
883482846933004288,45178,9758,7541419,140561,2017-07-08 00:28:19
883360690899218434,22316,3637,7541418,140561,2017-07-07 16:22:55
883117836046086144,36571,6548,7541418,140561,2017-07-07 00:17:54
882992080364220416,23570,3854,7541418,140561,2017-07-06 15:58:11
882762694511734784,27851,4828,7541418,140561,2017-07-06 00:46:41
882627270321602560,27476,5981,7541418,140561,2017-07-05 15:48:34
882268110199369728,44225,11389,7541418,140561,2017-07-04 16:01:23
882045870035918850,28896,4881,7541418,140561,2017-07-04 01:18:17
881906580714921986,23920,3337,7541418,140561,2017-07-03 16:04:48
881666595344535552,49794,10481,7541418,140561,2017-07-03 00:11:11
881633300179243008,124,7,7541418,140561,2017-07-02 21:58:53
881536004380872706,48642,15668,7541418,140561,2017-07-02 15:32:16
881268444196462592,22722,5084,7541418,140561,2017-07-01 21:49:04
880935762899988482,16745,2739,7541418,140561,2017-06-30 23:47:07
880872448815771648,20930,3752,7541418,140561,2017-06-30 19:35:32
880465832366813184,28068,6170,7541418,140561,2017-06-29 16:39:47
880221127280381952,26621,4146,7541419,140561,2017-06-29 00:27:25
880095782870896641,27189,4282,7541419,140561,2017-06-28 16:09:20
879862464715927552,21968,3442,7541420,140561,2017-06-28 00:42:13
879674319642796034,306,10,7541420,140561,2017-06-27 12:14:36
879492040517615616,23057,3133,7541420,140561,2017-06-27 00:10:17
879415818425184262,104215,43519,7541421,140561,2017-06-26 19:07:24
879376492567855104,16514,3067,7541421,140561,2017-06-26 16:31:08
879130579576475649,0,6715,7541421,140561,2017-06-26 00:13:58
879050749262655488,22197,4644,7541421,140561,2017-06-25 18:56:45
879008229531029506,18687,2651,7541421,140561,2017-06-25 16:07:47
878776093423087618,19110,4065,7541421,140561,2017-06-25 00:45:22
878604707211726852,29790,7088,7541421,140561,2017-06-24 13:24:20
878404777348136964,0,1268,7541421,140561,2017-06-24 00:09:53
878316110768087041,0,6549,7541421,140561,2017-06-23 18:17:33
878281511006478336,7629,1268,7541421,140561,2017-06-23 16:00:04
